0x401000L CChildFrame::CreateObject
0x4061b0L CFileViewToolBar::_scalar_deleting_destructor_
0x4061e0L CPropertiesWnd::_CPropertiesWnd
0x406270L CPropertiesWnd::GetMessageMap
0x406280L CPropertiesWnd::AdjustLayout
0x4063a0L CPropertiesWnd::OnCreate
0x406570L CPropertiesWnd::OnExpandAllProperties
0x406580L CPropertiesWnd::OnSortProperties
0x4065a0L CPropertiesWnd::OnUpdateSortProperties
0x4065c0L CPropertiesWnd::InitPropList
0x407650L CPropertiesWnd::OnSetFocus
0x407680L CPropertiesWnd::OnSettingChange
0x4076a0L CPropertiesWnd::SetPropListFont
0x407780L _variant_t::__variant_t
0x407790L CComboBox::_scalar_deleting_destructor_
0x4077c0L CFont::_CFont
0x4077d0L CFont::_scalar_deleting_destructor_
0x407800L CViewTree::_scalar_deleting_destructor_
0x407830L CViewTree::_CViewTree
0x407840L CViewTree::GetMessageMap
0x407850L CViewTree::OnNotify
0x4078d4L ??3@YAXPAX@Z_0
0x4078daL ?GetThisMessageMap@CMDIChildWndEx@@KGPBUAFX_MSGMAP@@XZ_0
0x4078e0L ?OnCmdMsg@CFrameWnd@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z_0
0x4078e6L ?OnFinalRelease@CWnd@@UAEXXZ_0
0x4078ecL ?IsInvokeAllowed@CCmdTarget@@UAEHJ@Z_0
0x4078f2L ?GetDispatchIID@CCmdTarget@@UAEHPAU_GUID@@@Z_0
0x4078f8L ?GetTypeInfoCount@CCmdTarget@@UAEIXZ_0
0x4078feL ?GetTypeLibCache@CCmdTarget@@UAEPAVCTypeLibCache@@XZ_0
0x407904L ?GetTypeLib@CCmdTarget@@UAEJKPAPAUITypeLib@@@Z_0
0x40790aL ?GetCommandMap@CCmdTarget@@MBEPBUAFX_OLECMDMAP@@XZ_0
0x407910L ?GetDispatchMap@CCmdTarget@@MBEPBUAFX_DISPMAP@@XZ_0
0x407916L ?GetConnectionMap@CCmdTarget@@MBEPBUAFX_CONNECTIONMAP@@XZ_0
0x40791cL ?GetInterfaceMap@CWnd@@MBEPBUAFX_INTERFACEMAP@@XZ_0
0x407922L ?GetEventSinkMap@CCmdTarget@@MBEPBUAFX_EVENTSINKMAP@@XZ_0
0x407928L ?OnCreateAggregates@CCmdTarget@@UAEHXZ_0
0x40792eL ?GetInterfaceHook@CCmdTarget@@UAEPAUIUnknown@@PBX@Z_0
0x407934L ?GetExtraConnectionPoints@CCmdTarget@@MAEHPAVCPtrArray@@@Z_0
0x40793aL ?GetConnectionHook@CCmdTarget@@MAEPAUIConnectionPoint@@ABU_GUID@@@Z_0
0x407940L ?PreSubclassWindow@CWnd@@UAEXXZ_0
0x407946L ?Create@CWnd@@UAEHPB_W0KABUtagRECT@@PAV1@IPAUCCreateContext@@@Z_0
0x40794cL ?CreateEx@CWnd@@UAEHKPB_W0KABUtagRECT@@PAV1@IPAX@Z_0
0x407952L ?CreateEx@CWnd@@UAEHKPB_W0KHHHHPAUHWND__@@PAUHMENU__@@PAX@Z_0
0x407958L ?DestroyWindow@CMDIChildWnd@@UAEHXZ_0
0x40795eL ?CalcWindowRect@CWnd@@UAEXPAUtagRECT@@I@Z_0
0x407964L ?GetMenu@CFrameWnd@@UBEPAVCMenu@@XZ_0
0x40796aL ?SetMenu@CFrameWnd@@UAEHPAVCMenu@@@Z_0
0x407970L ?OnToolHitTest@CWnd@@UBEHVCPoint@@PAUtagTOOLINFOW@@@Z_0
0x407976L ?GetScrollBarCtrl@CWnd@@UBEPAVCScrollBar@@H@Z_0
0x40797cL ?WinHelpW@CWnd@@UAEXKI@Z_0
0x407982L ?HtmlHelpW@CWnd@@UAEXKI@Z_0
0x407988L ?WinHelpInternal@CWnd@@UAEXKI@Z_0
0x40798eL ?ContinueModal@CWnd@@UAEHXZ_0
0x407994L ?EndModalLoop@CWnd@@UAEXH@Z_0
0x40799aL ?OnDrawIconicThumbnailOrLivePreview@CWnd@@UAEXAAVCDC@@VCRect@@VCSize@@HAAH@Z_0
0x4079a0L ?EnsureStdObj@CWnd@@UAEJXZ_0
0x4079a6L ?get_accParent@CWnd@@UAEJPAPAUIDispatch@@@Z_0
0x4079acL ?get_accChildCount@CWnd@@UAEJPAJ@Z_0
0x4079b2L ?get_accChild@CWnd@@UAEJUtagVARIANT@@PAPAUIDispatch@@@Z_0
0x4079b8L ?get_accName@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079beL ?get_accValue@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079c4L ?get_accDescription@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079caL ?get_accRole@CWnd@@UAEJUtagVARIANT@@PAU2@@Z_0
0x4079d0L ?get_accState@CWnd@@UAEJUtagVARIANT@@PAU2@@Z_0
0x4079d6L ?get_accHelp@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079dcL ?get_accHelpTopic@CWnd@@UAEJPAPA_WUtagVARIANT@@PAJ@Z_0
0x4079e2L ?get_accKeyboardShortcut@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079e8L ?get_accFocus@CWnd@@UAEJPAUtagVARIANT@@@Z_0
0x4079eeL ?get_accSelection@CWnd@@UAEJPAUtagVARIANT@@@Z_0
0x4079f4L ?get_accDefaultAction@CWnd@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x4079faL ?accSelect@CWnd@@UAEJJUtagVARIANT@@@Z_0
0x407a00L ?accLocation@CWnd@@UAEJPAJ000UtagVARIANT@@@Z_0
0x407a06L ?accNavigate@CWnd@@UAEJJUtagVARIANT@@PAU2@@Z_0
0x407a0cL ?accHitTest@CWnd@@UAEJJJPAUtagVARIANT@@@Z_0
0x407a12L ?accDoDefaultAction@CWnd@@UAEJUtagVARIANT@@@Z_0
0x407a18L ?put_accName@CWnd@@UAEJUtagVARIANT@@PA_W@Z_0
0x407a1eL ?put_accValue@CWnd@@UAEJUtagVARIANT@@PA_W@Z_0
0x407a24L ?SetProxy@CWnd@@UAEJPAUIAccessibleProxy@@@Z_0
0x407a2aL ?CreateAccessibleProxy@CWnd@@UAEJIJPAJ@Z_0
0x407a30L ?OnCommand@CFrameWnd@@MAEHIJ@Z_0
0x407a36L ?OnNotify@CWnd@@MAEHIJPAJ@Z_0
0x407a3cL ?GetSuperWndProcAddr@CWnd@@MAEPAP6GJPAUHWND__@@IIJ@ZXZ_0
0x407a42L ?BeginModalState@CFrameWnd@@UAEXXZ_0
0x407a48L ?EndModalState@CFrameWnd@@UAEXXZ_0
0x407a4eL ?PreTranslateMessage@CMDIChildWndEx@@UAEHPAUtagMSG@@@Z_0
0x407a54L ?OnAmbientProperty@CWnd@@UAEHPAVCOleControlSite@@JPAUtagVARIANT@@@Z_0
0x407a5aL ?WindowProc@CWnd@@MAEJIIJ@Z_0
0x407a60L ?OnWndMsg@CWnd@@MAEHIIJPAJ@Z_0
0x407a66L ?DefWindowProcW@CMDIChildWnd@@MAEJIIJ@Z_0
0x407a6cL ?PostNcDestroy@CFrameWnd@@MAEXXZ_0
0x407a72L ?OnChildNotify@CWnd@@MAEHIIJPAJ@Z_0
0x407a78L ?OnTouchInputs@CWnd@@MAEHIPAUtagTOUCHINPUT@@@Z_0
0x407a7eL ?OnTouchInput@CWnd@@MAEHVCPoint@@HHPAUtagTOUCHINPUT@@@Z_0
0x407a84L ?GetGestureStatus@CWnd@@MAEKVCPoint@@@Z_0
0x407a8aL ?OnGestureZoom@CWnd@@MAEHVCPoint@@J@Z_0
0x407a90L ?OnGesturePan@CWnd@@MAEHVCPoint@@0@Z_0
0x407a96L ?OnGestureRotate@CWnd@@MAEHVCPoint@@N@Z_0
0x407a9cL ?OnGestureTwoFingerTap@CWnd@@MAEHVCPoint@@@Z_0
0x407aa2L ?OnGesturePressAndTap@CWnd@@MAEHVCPoint@@J@Z_0
0x407aa8L ?CheckAutoCenter@CWnd@@UAEHXZ_0
0x407aaeL ?IsFrameWnd@CFrameWnd@@UBEHXZ_0
0x407ab4L ?CreateControlContainer@CWnd@@MAEHPAPAVCOleControlContainer@@@Z_0
0x407abaL ?CreateControlSite@CWnd@@MAEHPAVCOleControlContainer@@PAPAVCOleControlSite@@IABU_GUID@@@Z_0
0x407ac0L ?SetOccDialogInfo@CWnd@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z_0
0x407ac6L ?GetOccDialogInfo@CWnd@@MAEPAU_AFX_OCC_DIALOG_INFO@@XZ_0
0x407accL ?Create@CFrameWnd@@UAEHPB_W0KABUtagRECT@@PAVCWnd@@0KPAUCCreateContext@@@Z_0
0x407ad2L ?LoadFrame@CMDIChildWnd@@UAEHIKPAVCWnd@@PAUCCreateContext@@@Z_0
0x407ad8L ?GetActiveDocument@CFrameWnd@@UAEPAVCDocument@@XZ_0
0x407adeL ?GetActiveFrame@CFrameWnd@@UAEPAV1@XZ_0
0x407ae4L ?GetMessageString@CFrameWnd@@UBEXIAAV?$CStringT@_WV?$StrTraitMFC_DLL@_WV?$ChTraitsCRT@_W@ATL@@@@@ATL@@@Z_0
0x407aeaL ?RecalcLayout@CMDIChildWndEx@@UAEXH@Z_0
0x407af0L ?ActivateFrame@CMDIChildWndEx@@UAEXH@Z_0
0x407af6L ?SetMenuBarVisibility@CFrameWnd@@UAEXK@Z_0
0x407afcL ?GetMenuBarVisibility@CFrameWnd@@UBEKXZ_0
0x407b02L ?SetMenuBarState@CFrameWnd@@UAEHK@Z_0
0x407b08L ?GetMenuBarState@CFrameWnd@@UBEKXZ_0
0x407b0eL ?OnSetPreviewMode@CMDIChildWndEx@@UAEXHPAUCPrintPreviewState@@@Z_0
0x407b14L ?GetMessageBar@CMDIChildWnd@@MAEPAVCWnd@@XZ_0
0x407b1aL ?NegotiateBorderSpace@CFrameWnd@@UAEHIPAUtagRECT@@@Z_0
0x407b20L ?OnCreateClient@CFrameWnd@@MAEHPAUtagCREATESTRUCTW@@PAUCCreateContext@@@Z_0
0x407b26L ?OnUpdateFrameTitle@CMDIChildWndEx@@UAEXH@Z_0
0x407b2cL ?OnUpdateFrameMenu@CFrameWnd@@UAEXPAUHMENU__@@@Z_0
0x407b32L ?GetDefaultAccelerator@CFrameWnd@@UAEPAUHACCEL__@@XZ_0
0x407b38L ?DelayUpdateFrameMenu@CFrameWnd@@UAEXPAUHMENU__@@@Z_0
0x407b3eL ?ExitHelpMode@CFrameWnd@@UAEXXZ_0
0x407b44L ?OnShowMenuBar@CFrameWnd@@MAEXXZ_0
0x407b4aL ?OnHideMenuBar@CFrameWnd@@MAEXXZ_0
0x407b50L ?Create@CMDIChildWnd@@UAEHPB_W0KABUtagRECT@@PAVCMDIFrameWnd@@PAUCCreateContext@@@Z_0
0x407b56L ?OnUpdateFrameMenu@CMDIChildWnd@@UAEXHPAVCWnd@@PAUHMENU__@@@Z_0
0x407b5cL ?AdjustDockingLayout@CMDIChildWndEx@@UAEXPAX@Z_0
0x407b62L ?OnMoveMiniFrame@CMDIChildWndEx@@UAEHPAVCWnd@@@Z_0
0x407b68L ?RegisterTaskbarTab@CMDIChildWndEx@@UAEXPAV1@@Z_0
0x407b6eL ?GetFrameText@CMDIChildWndEx@@UBE?AV?$CStringT@_WV?$StrTraitMFC_DLL@_WV?$ChTraitsCRT@_W@ATL@@@@@ATL@@XZ_0
0x407b74L ?GetFrameIcon@CMDIChildWndEx@@UBEPAUHICON__@@XZ_0
0x407b7aL ?UpdateTaskbarTabIcon@CMDIChildWndEx@@UAEXPAUHICON__@@@Z_0
0x407b80L ?OnTaskbarTabThumbnailStretch@CMDIChildWndEx@@UAEHPAUHBITMAP__@@ABVCRect@@01@Z_0
0x407b86L ?GetTaskbarPreviewWnd@CMDIChildWndEx@@UAEPAVCWnd@@XZ_0
0x407b8cL ?OnPressTaskbarThmbnailCloseButton@CMDIChildWndEx@@UAEXXZ_0
0x407b92L ?OnTaskbarTabThumbnailActivate@CMDIChildWndEx@@UAEXIPAVCWnd@@H@Z_0
0x407b98L ?OnTaskbarTabThumbnailMouseActivate@CMDIChildWndEx@@UAEHPAVCWnd@@II@Z_0
0x407b9eL ?GetTaskbarThumbnailClipRect@CMDIChildWndEx@@UBE?AVCRect@@XZ_0
0x407ba4L ?GetDocumentName@CMDIChildWndEx@@UAEPB_WPAPAVCObject@@@Z_0
0x407baaL ?SetTaskbarThumbnailClipRect@CMDIChildWndEx@@MAEHVCRect@@@Z_0
0x407bb0L ?ActivateTopLevelFrame@CMDIChildWndEx@@MAEXXZ_0
0x407bb6L ?SetTaskbarTabText@CMDIChildWndEx@@MAEXPB_W@Z_0
0x407bbcL ?GetThisMessageMap@CDockablePane@@KGPBUAFX_MSGMAP@@XZ_0
0x407bc2L ?Create@CMFCToolBar@@UAEHPAVCWnd@@KI@Z_0
0x407bc8L ?LoadToolBar@CMFCToolBar@@UAEHIIIHIII@Z_0
0x407bceL ?MeasureItem@CMenu@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z_0
0x407bd4L ?DrawItem@CMenu@@UAEXPAUtagDRAWITEMSTRUCT@@@Z_0
0x407bdaL ?GetRuntimeClass@CMenu@@UBEPAUCRuntimeClass@@XZ_0
0x407be0L ?SetImage@CMFCToolBarButton@@UAEXH@Z_0
0x407be6L ?CalcFixedLayout@CMFCToolBar@@UAE?AVCSize@@HH@Z_0
0x407becL ?SetWindowPos@CBasePane@@UAEPAXPBVCWnd@@HHHHIPAX@Z_0
0x407bf2L ?PreTranslateMessage@CDockablePane@@UAEHPAUtagMSG@@@Z_0
0x407bf8L ?GetRuntimeClass@CBitmap@@UBEPAUCRuntimeClass@@XZ_0
0x407bfeL ?GetRuntimeClass@CGdiObject@@UBEPAUCRuntimeClass@@XZ_0
0x407c04L ?AfxGetModuleState@@YGPAVAFX_MODULE_STATE@@XZ_0
0x407c0aL ?LoadBitmapW@CMFCToolBar@@UAEHIIIHII@Z_0
0x407c10L ?GetRuntimeClass@CMFCToolBar@@UBEPAUCRuntimeClass@@XZ_0
0x407c16L ?Serialize@CMFCToolBar@@UAEXAAVCArchive@@@Z_0
0x407c1cL ?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z_0
0x407c22L ?GetMessageMap@CMFCToolBar@@MBEPBUAFX_MSGMAP@@XZ_0
0x407c28L ?DestroyWindow@CWnd@@UAEHXZ_0
0x407c2eL ?PreCreateWindow@CWnd@@UAEHAAUtagCREATESTRUCTW@@@Z_0
0x407c34L ?GetMenu@CWnd@@UBEPAVCMenu@@XZ_0
0x407c3aL ?SetMenu@CWnd@@UAEHPAVCMenu@@@Z_0
0x407c40L ?OnToolHitTest@CMFCToolBar@@MBEHVCPoint@@PAUtagTOOLINFOW@@@Z_0
0x407c46L ?get_accParent@CBasePane@@UAEJPAPAUIDispatch@@@Z_0
0x407c4cL ?get_accChildCount@CBasePane@@UAEJPAJ@Z_0
0x407c52L ?get_accChild@CBasePane@@UAEJUtagVARIANT@@PAPAUIDispatch@@@Z_0
0x407c58L ?get_accName@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c5eL ?get_accValue@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c64L ?get_accDescription@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c6aL ?get_accRole@CBasePane@@UAEJUtagVARIANT@@PAU2@@Z_0
0x407c70L ?get_accState@CBasePane@@UAEJUtagVARIANT@@PAU2@@Z_0
0x407c76L ?get_accHelp@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c7cL ?get_accHelpTopic@CBasePane@@UAEJPAPA_WUtagVARIANT@@PAJ@Z_0
0x407c82L ?get_accKeyboardShortcut@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c88L ?get_accFocus@CBasePane@@UAEJPAUtagVARIANT@@@Z_0
0x407c8eL ?get_accSelection@CBasePane@@UAEJPAUtagVARIANT@@@Z_0
0x407c94L ?get_accDefaultAction@CBasePane@@UAEJUtagVARIANT@@PAPA_W@Z_0
0x407c9aL ?accSelect@CBasePane@@UAEJJUtagVARIANT@@@Z_0
0x407ca0L ?accLocation@CBasePane@@UAEJPAJ000UtagVARIANT@@@Z_0
0x407ca6L ?accHitTest@CBasePane@@UAEJJJPAUtagVARIANT@@@Z_0
0x407cacL ?OnCommand@CMFCToolBar@@MAEHIJ@Z_0
0x407cb2L ?PreTranslateMessage@CMFCToolBar@@MAEHPAUtagMSG@@@Z_0
0x407cb8L ?WindowProc@CBasePane@@MAEJIIJ@Z_0
0x407cbeL ?DefWindowProcW@CWnd@@MAEJIIJ@Z_0
0x407cc4L ?PostNcDestroy@CWnd@@MAEXXZ_0
0x407ccaL ?IsFrameWnd@CWnd@@UBEHXZ_0
0x407cd0L ?GetCurrentAlignment@CBasePane@@UBEKXZ_0
0x407cd6L ?IsDocked@CBasePane@@UBEHXZ_0
0x407cdcL ?IsTabbed@CPane@@UBEHXZ_0
0x407ce2L ?IsMDITabbed@CBasePane@@UBEHXZ_0
0x407ce8L ?IsVisible@CBasePane@@UBEHXZ_0
0x407ceeL ?CanFloat@CBasePane@@UBEHXZ_0
0x407cf4L ?CanBeTabbedDocument@CPane@@UBEHXZ_0
0x407cfaL ?GetDockSiteFrameWnd@CBasePane@@UBEPAVCWnd@@XZ_0
0x407d00L ?EnableDocking@CMFCToolBar@@UAEXK@Z_0
