0x401000L sub_401000
0x43947dL ??1CFileFind@@UAE@XZ
0x4394b9L sub_4394B9
0x4394f9L sub_4394F9
0x439503L sub_439503
0x4395e3L ?MatchesMask@CFileFind@@UBEHK@Z
0x4395fdL ?GetLastAccessTime@CFileFind@@UBEHPAU_FILETIME@@@Z
0x439621L ?GetLastWriteTime@CFileFind@@UBEHPAU_FILETIME@@@Z
0x439645L ?GetCreationTime@CFileFind@@UBEHPAU_FILETIME@@@Z
0x439669L ?GetLastAccessTime@CFileFind@@UBEHAAVCTime@@@Z
0x439694L ?GetLastWriteTime@CFileFind@@UBEHAAVCTime@@@Z
0x4396bfL ?GetCreationTime@CFileFind@@UBEHAAVCTime@@@Z
0x4396eaL sub_4396EA
0x439723L ?FindNextFileA@CFileFind@@UAEHXZ
0x43975eL ?GetFileURL@CFileFind@@UBE?AVCString@@XZ
0x4397d7L sub_4397D7
0x4397f2L sub_4397F2
0x43988aL sub_43988A
0x43991bL sub_43991B
0x43997aL nullsub_6
0x43997bL unknown_libname_30
0x43998aL sub_43998A
0x4399a6L sub_4399A6
0x4399c3L ?Lock@CSyncObject@@UAEHK@Z
0x4399e2L nullsub_9
0x4399feL ?AfxEnableControlContainer@@YAXPAVCOccManager@@@Z
0x439a25L sub_439A25
0x439aabL sub_439AAB
0x439affL ?OnEvent@COccManager@@UAEHPAVCCmdTarget@@IPAUAFX_EVENT@@PAUAFX_CMDHANDLERINFO@@@Z
0x439b17L ?CreateContainer@COccManager@@UAEPAVCOleControlContainer@@PAVCWnd@@@Z
0x439b4eL sub_439B4E
0x439b88L ?PreCreateDialog@COccManager@@UAEPBUDLGTEMPLATE@@PAU_AFX_OCC_DIALOG_INFO@@PBU2@@Z
0x439bd2L ?PostCreateDialog@COccManager@@UAEXPAU_AFX_OCC_DIALOG_INFO@@@Z
0x439bf6L sub_439BF6
0x439d35L sub_439D35
0x439d90L sub_439D90
0x439eebL sub_439EEB
0x43a006L sub_43A006
0x43a2d1L sub_43A2D1
0x43a2e6L sub_43A2E6
0x43a301L sub_43A301
0x43a310L sub_43A310
0x43a33aL sub_43A33A
0x43a356L sub_43A356
0x43a35dL sub_43A35D
0x43a387L sub_43A387
0x43a3a3L sub_43A3A3
0x43a3aaL sub_43A3AA
0x43a3c6L sub_43A3C6
0x43a3e2L sub_43A3E2
0x43a3feL sub_43A3FE
0x43a424L sub_43A424
0x43a456L sub_43A456
0x43a472L sub_43A472
0x43a49eL sub_43A49E
0x43a4c8L sub_43A4C8
0x43a4e4L sub_43A4E4
0x43a4ebL sub_43A4EB
0x43a515L sub_43A515
0x43a531L sub_43A531
0x43a538L ?CheckError@@YGXJ@Z
0x43a557L sub_43A557
0x43a577L sub_43A577
0x43a5f2L ??0COleVariant@@QAE@FG@Z
0x43a628L ??0COleVariant@@QAE@JG@Z
0x43a66aL ?ChangeType@COleVariant@@QAEXGPAUtagVARIANT@@@Z
0x43a695L sub_43A695
0x43a6afL ?AfxVariantInit@@YGXPAUtagVARIANT@@@Z
0x43a6c2L sub_43A6C2
0x43a7ffL ??6CArchive@@QAEAAV0@G@Z
0x43a826L sub_43A826
0x43a84cL ??5CArchive@@QAEAAV0@AAG@Z
0x43a87fL ?GetTickCount@COleDateTime@@SG?AV1@XZ
0x43a8a1L sub_43A8A1
0x43a8f2L sub_43A8F2
0x43a951L sub_43A951
0x43a984L sub_43A984
0x43a9a0L sub_43A9A0
0x43a9e8L sub_43A9E8
0x43aa24L sub_43AA24
0x43aa4cL sub_43AA4C
0x43aadbL sub_43AADB
0x43ab07L sub_43AB07
0x43ad19L sub_43AD19
0x43ad8eL sub_43AD8E
0x43ae37L sub_43AE37
0x43ae3dL sub_43AE3D
0x43ae43L ??0COleControlContainer@@QAE@PAVCWnd@@@Z
0x43aea2L sub_43AEA2
0x43aebeL ??1COleControlContainer@@UAE@XZ
0x43af9cL sub_43AF9C
0x43affdL sub_43AFFD
0x43b0b8L ?FindItem@COleControlContainer@@UBEPAVCOleControlSite@@I@Z
0x43b102L sub_43B102
0x43b30aL sub_43B30A
0x43b483L ?FreezeAllEvents@COleControlContainer@@QAEXH@Z
0x43b4c4L ?ScrollChildren@COleControlContainer@@UAEXHH@Z
0x43b51eL ?OnUIActivate@COleControlContainer@@UAEXPAVCOleControlSite@@@Z
0x43b53cL sub_43B53C
0x43b54cL sub_43B54C
0x43b589L sub_43B589
0x43b5b1L sub_43B5B1
0x43b5ccL sub_43B5CC
0x43b608L sub_43B608
0x43b6b6L sub_43B6B6
0x43b6d5L sub_43B6D5
0x43b6faL ?SetDlgItemInt@COleControlContainer@@UAEXHIH@Z
0x43b737L sub_43B737
0x43b752L sub_43B752
0x43b7ceL ?QueryInterface@XOleIPFrame@COleControlContainer@@UAGJABU_GUID@@PAPAX@Z
0x43b7e5L unknown_libname_31
0x43b7f6L ?Release@XOleIPFrame@COleControlContainer@@UAGKXZ
0x43b805L ?GetWindow@XOleIPFrame@COleControlContainer@@UAGJPAPAUHWND__@@@Z
0x43b81aL sub_43B81A
0x43b822L sub_43B822
0x43b859L sub_43B859
0x43b861L sub_43B861
0x43b869L sub_43B869
0x43b86eL sub_43B86E
0x43b874L ??1CEnumUnknown@@UAE@XZ
0x43b8caL sub_43B8CA
0x43b8e6L ?OnNext@CEnumUnknown@@MAEHPAX@Z
0x43b904L ?QueryInterface@XOleContainer@COleControlContainer@@UAGJABU_GUID@@PAPAX@Z
0x43b91bL ?Release@XOleContainer@COleControlContainer@@UAGKXZ
0x43b92aL ?AddRef@XOleContainer@COleControlContainer@@UAGKXZ
0x43b93bL sub_43B93B
0x43b943L sub_43B943
0x43ba51L ?GetFont@CWnd@@QBEPAVCFont@@XZ
0x43ba67L sub_43BA67
0x43ba6dL ??0COleControlSite@@QAE@PAVCOleControlContainer@@@Z
0x43bb74L sub_43BB74
0x43bb90L ??1COleControlSite@@UAE@XZ
0x43bcbcL sub_43BCBC
0x43bd64L sub_43BD64
0x43c001L sub_43C001
0x43c030L ?CoCreateInstanceLic@@YAJABU_GUID@@PAUIUnknown@@K0PAPAXPAG@Z
0x43c0bdL sub_43C0BD
0x43c25eL sub_43C25E
0x43c568L ?DoVerb@COleControlSite@@UAEJJPAUtagMSG@@@Z
0x43c594L ?IsDefaultButton@COleControlSite@@QAEHXZ
0x43c5bdL sub_43C5BD
0x43c60dL ?ConnectSink@COleControlSite@@IAEKABU_GUID@@PAUIUnknown@@@Z
0x43c675L ?DisconnectSink@COleControlSite@@IAEXABU_GUID@@K@Z
0x43c6d3L sub_43C6D3
0x43c84dL sub_43C84D
0x43c89bL sub_43C89B
0x43c93eL sub_43C93E
0x43c986L ?FreezeEvents@COleControlSite@@QAEXH@Z
0x43c9bcL sub_43C9BC
0x43c9f9L sub_43C9F9
0x43ca47L sub_43CA47
0x43ca84L ?InvokeHelperV@COleControlSite@@UAEXJGGPAXPBEPAD@Z
0x43cadaL sub_43CADA
0x43cb35L sub_43CB35
0x43cb55L sub_43CB55
0x43cb71L sub_43CB71
0x43cb88L sub_43CB88
0x43cbdbL sub_43CBDB
0x43cc91L sub_43CC91
0x43ccf9L sub_43CCF9
0x43cd89L sub_43CD89
0x43cdd9L sub_43CDD9
0x43ce0cL sub_43CE0C
0x43ce7bL sub_43CE7B
0x43ced6L sub_43CED6
0x43cf1bL sub_43CF1B
0x43cf1fL ?SetDlgCtrlID@COleControlSite@@UAEHH@Z
0x43cf2cL ?MoveWindow@COleControlSite@@UAEXHHHHH@Z
0x43cfa6L sub_43CFA6
0x43d05bL sub_43D05B
0x43d09aL sub_43D09A
0x43d0e8L sub_43D0E8
0x43d151L ?SetFocus@COleControlSite@@UAEPAVCWnd@@XZ
0x43d18aL sub_43D18A
0x43d1deL sub_43D1DE
0x43d280L ?BindProperty@COleControlSite@@UAEXJPAVCWnd@@@Z
0x43d396L ?AddRef@XOleClientSite@COleControlSite@@UAGKXZ
0x43d3a9L ?Release@XOleClientSite@COleControlSite@@UAGKXZ
0x43d3bbL ?QueryInterface@XOleClientSite@COleControlSite@@UAGJABU_GUID@@PAPAX@Z
0x43d3d5L sub_43D3D5
0x43d3ddL ?GetContainer@XOleClientSite@COleControlSite@@UAGJPAPAUIOleContainer@@@Z
0x43d3f8L ?ShowObject@XOleClientSite@COleControlSite@@UAGJXZ
0x43d40cL ?AddRef@XOleIPSite@COleControlSite@@UAGKXZ
0x43d41fL ?Release@XOleIPSite@COleControlSite@@UAGKXZ
0x43d431L ?QueryInterface@XOleIPSite@COleControlSite@@UAGJABU_GUID@@PAPAX@Z
0x43d44bL ?GetWindow@XOleIPSite@COleControlSite@@UAGJPAPAUHWND__@@@Z
0x43d476L sub_43D476
0x43d48dL ?GetWindowContext@XOleIPSite@COleControlSite@@UAGJPAPAUIOleInPlaceFrame@@PAPAUIOleInPlaceUIWindow@@PAUtagRECT@@2PAUtagOIFI@@@Z
0x43d505L _DllMain@12_1
0x43d50bL sub_43D50B
0x43d522L ?OnInPlaceDeactivate@XOleIPSite@COleControlSite@@UAGJXZ
0x43d536L ?DeactivateAndUndo@XOleIPSite@COleControlSite@@UAGJXZ
0x43d548L ?OnPosRectChange@XOleIPSite@COleControlSite@@UAGJPBUtagRECT@@@Z
0x43d59bL ?AddRef@XOleControlSite@COleControlSite@@UAGKXZ
0x43d5aeL ?Release@XOleControlSite@COleControlSite@@UAGKXZ
0x43d5c0L ?QueryInterface@XOleControlSite@COleControlSite@@UAGJABU_GUID@@PAPAX@Z
0x43d5daL ?OnControlInfoChanged@XOleControlSite@COleControlSite@@UAGJXZ
0x43d5eeL ?TransformCoords@XOleControlSite@COleControlSite@@UAGJPAU_POINTL@@PAUtagPOINTF@@K@Z
0x43d6f0L unknown_libname_32
0x43d703L ?Release@XAmbientProps@COleControlSite@@UAGKXZ
0x43d715L ?QueryInterface@XAmbientProps@COleControlSite@@UAGJABU_GUID@@PAPAX@Z
0x43d72fL sub_43D72F
0x43d760L sub_43D760
0x43d7aaL sub_43D7AA
0x43d7b0L sub_43D7B0
0x43d8c6L ?OnRequestEdit@XPropertyNotifySink@COleControlSite@@UAGJJ@Z
0x43d91bL sub_43D91B
0x43d97fL sub_43D97F
0x43d987L ?Invoke@XEventSink@COleControlSite@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0x43d9dcL ??0CDataSourceControl@@QAE@PAVCOleControlSite@@@Z
0x43da2aL sub_43DA2A
0x43dc0aL sub_43DC0A
0x43dc91L sub_43DC91
0x43dcdcL sub_43DCDC
0x43dd0bL sub_43DD0B
0x43dd2bL sub_43DD2B
0x43dd65L sub_43DD65
0x43df07L sub_43DF07
0x43df70L sub_43DF70
0x43e290L sub_43E290
0x43e2e1L sub_43E2E1
0x43e304L sub_43E304
0x43e35dL sub_43E35D
0x43e391L sub_43E391
0x43e3b4L ?SetupOptionalRowsetInterfaces@?$CRowset@VCAccessorBase@ATL@@@ATL@@QAEXXZ
0x43e3c9L sub_43E3C9
0x43e67aL sub_43E67A
0x43e6d6L sub_43E6D6
0x43e720L sub_43E720
0x43e79fL ?CopyColumnID@CDataSourceControl@@QAEHPAUtagDBCOLUMNID@@PBU2@@Z
0x43e80bL sub_43E80B
0x43e947L sub_43E947
0x43e99aL ?BindProp@CDataSourceControl@@UAEXPAVCDataBoundProperty@@H@Z
0x43e9e2L sub_43E9E2
0x43eb8cL sub_43EB8C
0x43ebe9L sub_43EBE9
0x43f365L sub_43F365
0x43f3a9L sub_43F3A9
0x43f3c0L sub_43F3C0
0x43f555L sub_43F555
0x43fe98L sub_43FE98
0x43fec0L sub_43FEC0
0x43feefL ??1CManualAccessor@ATL@@QAE@XZ
0x43ff06L sub_43FF06
0x43ff7dL sub_43FF7D
0x43ffd1L sub_43FFD1
0x440069L ??0CDataBoundProperty@@QAE@PAV0@JG@Z
0x44008fL unknown_libname_33
0x440098L ?SetDSCSite@CDataBoundProperty@@QAEXPAVCOleControlSite@@@Z
0x4400acL sub_4400AC
0x4400b0L sub_4400B0
0x440133L sub_440133
0x440169L ?GetCursor@COleControlSite@@IAEJJPAPAUICursor@@PAPAX@Z
